# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663106186909;37698903;103896;106667;192843;5211;422202;130022;2757;8676;0;197707;61260;69537;70371;2509;271452;86067;1586;4436;0;143222;
1663106186924;37687765;101907;100573;190071;4866;394854;125345;2588;8233;0;188718;61251;70478;71442;2628;261912;85687;1581;4292;0;143411;
1663106186940;37693930;112570;94865;197190;4926;538086;138737;2633;8692;0;153528;41791;37869;18333;1832;195696;58640;728;2235;0;63305;
1663106186956;37702006;111377;112106;193158;5163;474282;140541;2950;10112;0;197383;60724;74417;46809;2640;260658;85573;1587;4169;0;149456;
1663106186971;37703509;117476;117670;248094;5117;508608;150277;3087;10218;0;209957;61304;70286;76419;2710;251736;84680;1580;4359;0;146501;
1663106186987;37697251;101952;99382;187236;4827;394446;124124;2628;8242;0;188212;61296;69280;70245;2640;251802;85319;1579;4236;0;143653;
1663106187002;37737585;74181;176641;224784;31904;568494;120296;3879;14367;0;253355;122287;139321;103446;8506;506076;155299;3102;9897;0;205625;
1663106187018;37753591;16914639;19513309;9729153;1663335;76944060;21174036;367698;1392516;5355;31407547;16092921;20439871;10066266;1894386;75200994;21461346;351757;1388213;62;33586229;
1663106187034;37666042;393948;786301;772884;48349;3406368;581963;13496;60940;10;837380;1118251;2003294;979965;168582;10240590;1775944;36434;158214;7343;1939984;
1663106187049;37631886;128835;181594;347823;8999;830652;194792;3848;17691;9;251403;65516;100990;80766;6628;354378;105273;1895;6954;1;181918;
1663106187065;37688339;120729;135357;281106;6298;596454;163825;3406;12136;8;223665;62855;75271;74970;2601;280404;90792;1667;5522;0;153006;
1663106187081;37735795;67265;196812;232407;27268;615018;119626;3014;13156;0;253336;120703;153885;99855;10478;569808;158599;2751;10354;0;209616;
1663106187096;37709435;150417;198986;304857;14637;853818;202355;3918;16656;10;288175;46716;97153;84861;6505;248670;74315;2137;7192;0;186679;
1663106187112;37699015;131017;159955;341838;6783;737748;180559;3761;15265;9;233016;59232;77949;68355;5488;269082;84660;1618;5324;0;149778;
1663106187127;37760570;386278;1642806;930699;252675;8572782;700330;16063;74835;0;901032;148844;275472;157941;26784;953970;210482;4730;19948;0;347596;
1663106187143;37701935;180733;309901;291438;43963;1105674;247266;5313;20819;0;376482;458245;737590;382851;67285;3558972;712761;6928;32853;1;881807;
1663106187159;37746243;3664658;3646070;1890819;256027;21085302;5284917;44432;258885;0;5094364;316062;578135;286083;68151;2870352;573888;10366;47685;0;593089;
1663106187174;37581304;119434;134177;202167;8118;562890;160321;2619;12598;0;223539;42090;81429;69552;4187;290340;68772;1771;6708;0;131060;
1663106187190;37678939;112318;108632;203427;5951;617634;147647;2696;10971;0;157854;41836;40121;19404;1854;208638;60407;732;2539;0;64224;
1663106187206;37900233;66451;480517;372267;6221;548748;115141;2762;10659;0;205899;117116;140597;72009;5606;605706;147951;2604;8805;0;194526;
1663106187221;37492507;146066;162187;217476;13527;718224;197819;3710;15445;0;264354;55052;101754;49392;2162;286296;79984;1708;5978;0;180047;
1663106187237;37722117;100457;275146;285138;10567;811566;160944;4073;15408;0;334487;140155;181264;114282;8455;732630;181808;3404;12268;0;233437;
1663106187252;37658303;131424;136564;205065;5566;501216;168423;2619;10329;0;270918;66013;117847;87822;3105;289674;89841;2101;6592;0;244559;
1663106187268;37767965;61247;88128;138033;3735;350430;97872;2211;7365;0;137398;116966;107073;92295;5998;535794;152874;2497;8839;0;182466;
1663106187284;37632686;123787;111464;194292;5111;473034;159386;2557;8682;0;210757;38340;72868;67662;6886;226344;57644;1569;4909;0;131107;
1663106187299;37707266;101883;103075;193410;5214;410784;128966;2673;8563;0;191423;61352;70692;74088;2932;256422;86502;1607;4652;0;147633;
1663106187315;37706194;102710;104399;197442;5267;408558;127670;2682;8525;0;192876;62343;72491;75789;2153;268500;89194;1799;4950;0;147458;
1663106187331;37705296;101879;99483;198954;4823;393738;126372;2616;8227;0;187553;61326;68956;81144;3010;251112;86440;1622;4347;0;146269;
1663106187346;37695034;101770;99384;190764;4900;394476;126156;2617;8239;0;188519;61214;68966;73332;2866;251322;85406;1571;4151;0;144494;
1663106187362;37714633;111202;117275;201600;5574;508182;141623;3005;10830;0;197989;60704;73423;40824;2749;258144;85720;1533;4374;0;147485;
1663106187377;37733632;82723;118570;243117;8611;549030;132190;3217;11277;0;162484;117146;106188;85680;6323;497106;146710;2424;8859;0;184668;
1663106187393;37634818;118301;104424;195552;4931;436098;149554;2380;8046;0;204367;42085;64524;73899;3152;214530;61642;1736;4814;0;123931;
1663106187409;37697782;101760;99489;189504;4944;394512;124489;2617;8343;0;190200;61251;68613;72702;2551;252636;86260;1582;4363;0;144876;
1663106187424;37706178;107031;106941;190890;5379;433356;132530;2754;9098;0;194083;58915;76906;69300;3658;264024;84136;1550;4875;0;150871;
1663106187440;37676370;111360;95054;197505;5180;536892;138754;2565;9214;0;153507;42225;39299;19089;1831;200094;60853;765;2642;0;65675;
1663106187456;37703366;101819;99081;194229;4963;391266;127244;2636;8628;0;185832;60703;69306;76482;2728;255882;84923;1590;4496;0;143867;
1663106187471;37698469;101731;100740;187803;4898;393828;124076;2659;8342;0;188728;62482;70517;71757;2977;257634;87243;1863;5018;0;148115;
1663106187487;37760273;65183;95111;170982;4510;413634;102357;2445;9131;0;132354;237183;295279;180054;20664;1641786;291990;4075;25121;0;344204;
1663106187502;37630152;142343;153161;265230;6617;654900;189120;4385;15172;0;256379;50912;93548;73395;11376;289494;76885;2427;7800;0;165498;
1663106187518;37725069;247738;460524;353682;41252;1749612;380208;8005;34963;1;593907;470508;824618;412398;87467;4258002;738814;17847;72621;0;885883;
1663106187534;37647521;101856;116181;195426;5779;474456;137579;2670;10277;0;193900;61247;84997;73017;3310;309702;94953;1709;5848;1;162958;
1663106187549;37695157;101887;104115;190512;4922;418320;129490;2701;8895;0;189187;60797;72120;70308;3844;261840;88014;1574;4640;0;149574;
1663106187565;37692801;110827;95328;203616;5218;539082;143289;2585;9022;0;153925;41791;38069;18522;1825;194916;59286;726;2283;0;63801;
1663106187581;37700153;103787;105004;198513;5132;418170;129574;2688;8937;0;190295;58260;79398;84294;2723;262290;85845;1579;4614;0;157081;
1663106187596;37731820;95256;180618;240282;18831;629220;157693;3186;13404;3;277182;103730;132913;110376;9645;489048;137060;3061;10660;0;202541;
1663106187612;37667074;118480;106260;209097;5427;444240;150975;2447;8363;0;207660;41968;65127;85743;3203;220086;62861;1703;5145;0;124686;
1663106187627;37741339;72472;109119;196119;5482;516144;116957;2745;10930;0;138322;118881;114598;55503;7376;558156;155782;2684;9391;0;182286;
1663106187643;37614119;134032;131679;203931;5681;598074;174119;2876;10849;0;227361;42063;64169;68733;3105;215934;62846;1742;5068;0;125888;
1663106187659;37700226;103885;101193;185913;5012;408234;130260;2622;8482;0;187275;56831;72504;65457;3879;255678;79931;1489;4512;0;139400;
1663106187674;37738999;3720121;3499444;1787877;256872;20214912;5224309;45985;265488;0;5114002;240825;485117;269766;50870;1836870;420265;9254;38425;0;602924;
1663106187690;37631853;110936;117608;202356;6257;663702;161201;2675;12225;0;163600;42646;47754;22995;2443;248484;65784;797;3307;0;68952;
1663106187706;37734405;57875;83786;134127;4011;394002;95143;2094;7639;0;111337;117030;124826;81837;7847;663054;163423;2462;11107;0;177929;
1663106187721;37633327;120480;111393;201600;4879;473682;151527;2465;8579;0;207691;40062;75322;80388;6626;240078;64599;1810;6332;0;137076;
1663106187737;37682765;118287;103274;189378;4544;434526;147076;2377;7835;0;198841;41464;67402;68796;3177;224442;62271;1685;4820;0;127843;
1663106187752;37692822;110937;95018;199395;4836;536556;139786;2585;8591;0;152709;41796;38418;18585;1857;198018;59300;738;2349;0;63568;
1663106187768;37705792;111306;124196;200088;6622;545472;143246;3030;11695;0;198653;57870;72211;35154;2845;250278;80927;1500;4270;0;146502;
1663106187784;37705741;122572;136247;277011;5506;591738;166237;3368;12552;0;221387;60264;81914;80199;6479;288420;89410;1870;5785;0;155315;
1663106187799;37664883;101883;100643;195174;5129;401064;127108;2650;8586;0;187014;61296;70914;77112;3173;257664;86338;1633;4654;0;146558;
1663106187815;37687730;112471;94747;202860;5222;536550;139806;2643;8857;0;153821;41791;38132;18585;1964;196836;58230;724;2309;0;63267;
1663106187831;37694300;105267;104892;191268;5482;421722;132518;2710;8718;0;191896;58686;75087;68418;3803;263214;83382;1582;4741;0;146892;
1663106187846;37709013;118268;102366;193221;4798;423900;145645;2411;7864;0;201631;41987;65513;72450;2805;228444;64010;1723;4785;0;124929;
1663106187862;37701789;101779;101352;191583;4921;405702;127278;2580;8245;0;187153;61282;73691;75474;2654;260148;86107;1595;4480;0;146915;
1663106187877;37683722;111374;91823;198513;5055;518928;136397;2584;8309;0;151643;41791;37960;18459;1957;195660;58521;748;2320;0;63193;
1663106187893;37679684;101751;98206;188937;4986;389388;124942;2578;8236;0;184950;60694;69802;73773;2818;255168;84437;1581;4246;0;145260;
1663106187909;37713962;111227;112292;198009;5243;474270;138609;2967;10172;0;196896;60713;73681;50211;2648;258648;84066;1574;4308;0;147205;
1663106187924;37733462;73241;92363;165753;2798;457206;112744;2419;8129;0;126787;117119;101867;83664;5646;542412;148565;2376;8789;0;167852;
1663106187940;37630672;198085;159931;226233;14166;941892;207367;3636;16349;0;243691;22528;32267;15687;1906;158370;35398;840;2641;0;42693;
