# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663105528490;37684823;713827;1266959;851193;139888;5780298;1076067;24919;106579;42;1348666;2386405;2076757;1006929;248369;10436202;3066483;72105;232787;12906;3325931;
1663105528505;37621880;171271;318571;436275;34982;1268502;270582;7045;30777;45;379643;1352803;1136797;560133;141191;5730414;1617922;46875;133543;2864;1781224;
1663105528521;37596697;165594;304342;429219;30782;1170624;251225;7182;29823;40;382571;1356119;1033986;520821;144532;5369730;1608370;46925;130957;2404;1800019;
1663105528536;37679003;162150;271347;432747;30351;1043094;217117;6684;26804;37;344621;1338894;979709;510426;143051;5126004;1562930;46045;124684;3255;1753530;
1663105528552;37721771;155324;368080;463680;55462;1299216;253525;7700;32309;46;457054;1398323;1062779;531279;141330;5467332;1577582;47947;131174;2710;1766826;
1663105528568;37706726;823497;1515878;1017702;180427;5869116;1211561;29429;129229;469;2357312;1730085;1865867;917532;234878;7983282;2142642;57895;200564;3222;2860667;
1663105528583;37723142;169210;393515;479241;53047;1461468;282199;8385;37233;42;478486;1395326;1054836;511497;142667;5397408;1587229;47726;132437;2948;1787049;
1663105528599;37709453;190145;320625;484344;33357;1251348;264206;7417;30707;14;409513;1345324;1005782;529893;142884;5296152;1538370;46355;127411;2456;1714607;
1663105528615;37681429;407292;690952;635796;60954;3251280;628096;13347;69088;367;759465;445371;713493;365400;85613;3446274;697651;12741;67101;595;846590;
1663105528630;37681051;145046;301033;279279;33539;1064184;239833;6380;25820;18;377780;1389532;1125244;562779;146744;5625492;1651457;47754;142022;2927;1889912;
1663105528646;37610921;175202;259193;361809;23274;1068798;243178;6003;24032;9;341383;1325871;1002869;512316;142408;5286972;1533267;46469;128037;2386;1714920;
1663105528661;37718516;99836;219919;335160;26783;936924;169817;5214;21960;18;233765;1478278;1090212;545454;150999;5990592;1663641;47972;138755;2754;1821519;
1663105528677;37616629;172126;247544;347319;23587;988740;225690;5873;22874;9;337095;1329525;988760;509922;143910;5254590;1511901;46554;125527;2820;1692131;
1663105528693;37697334;157723;327237;347634;16251;1041360;230694;4825;19673;8;425381;1416996;1055373;527562;143415;5622234;1610146;47076;130128;2561;1801049;
1663105528708;37665564;187044;325780;382347;42880;1190370;252937;7249;27910;13;424430;1339158;1037469;534492;151414;5264856;1533696;46932;128072;2506;1779447;
1663105528724;37706730;164544;266302;365526;25359;1113126;213573;6479;26614;7;322300;1341722;973719;477540;142851;5152308;1526860;46095;124835;2425;1705816;
1663105528740;37663869;220434;364385;392175;44142;1602372;314552;8329;34404;9;433840;1303820;921530;485415;121076;4867350;1483298;44512;119146;2735;1645792;
1663105528755;37716529;3771148;3912799;2149434;283891;21986316;5413722;48924;279459;9;5333909;1566035;1559089;760410;201371;7914150;2061851;55698;175193;2449;2232064;
