# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1660669363772;37555645;3808590;3485506;4700493;233519;19503510;5272405;46722;264743;0;5374341;332332;616645;830592;77567;2560848;652323;12030;49676;0;780430;
1660669363788;37411426;47085622;32147566;22847643;1834130;184406664;54859815;644065;2118604;3207;56265710;4941474;6219476;5929875;583017;28682898;7522375;103106;418821;577;8500175;
1660669363804;37300406;1265926;2094685;2854908;166877;11156742;2124892;41400;187487;9921;2129235;165475;410272;552636;41269;1221984;295222;6634;27191;1;515221;
1660669363819;37378645;131701;217206;323820;8570;1013658;220619;4040;18684;10;266070;59570;115426;155295;12701;439014;109683;2199;9176;10;175736;
1660669363835;38117677;726198;1208223;1635858;123706;5758320;1220103;18539;95367;48;1316946;139000;490461;660744;81916;1265502;250823;7391;28580;60;592051;
1660669363851;37308299;995297;1529355;2088009;133981;8143812;1541000;35023;154161;5754;1605587;127497;306275;412524;40732;956088;229059;5423;22249;0;404244;
1660669363866;37411178;141089;257886;374976;18355;1037634;235304;4869;20728;17;339365;74589;154086;207522;12804;474888;126730;3005;10834;0;252623;
1660669363883;39484644;7214861;7215917;9726948;747028;42045420;9331299;123029;638996;10;9736786;122590;210026;283059;11743;653196;210944;2989;13865;0;343559;
1660669363898;37501581;391782;642529;880677;31095;1830366;519195;7412;32090;11;1348558;10853581;5099234;6868827;383864;28658838;9493453;30951;109686;1;11057756;
1660669363914;37185404;126340;181707;267624;8675;845310;193769;3658;15069;14;239609;57845;91290;122787;5285;382722;102974;1799;6798;0;149280;
1660669363930;37362912;131947;163502;254142;5158;714030;188375;3627;13354;9;251696;65876;94275;127071;3442;362178;108216;1968;6166;0;175490;
1660669363945;37369359;132912;177024;268821;6851;861048;192145;3660;15372;9;232711;45971;66802;90153;6031;251946;74112;1152;4031;0;118071;
1660669363961;37553848;133952;168831;247212;12213;959562;197486;3783;15962;0;197655;42437;40737;54810;2073;217218;62819;751;2567;0;65771;
1660669363976;37338496;90800;224029;333018;26906;826728;167475;4090;17249;0;285044;108143;131058;176652;9984;516312;149774;2439;9881;0;196295;
1660669363992;37590226;112989;131209;197190;5421;533982;157688;3008;11390;0;220809;59743;79627;107352;5372;282318;89384;1622;5344;0;154882;
1660669364008;37584729;59373;89086;135513;2902;439926;103168;2035;7177;0;115387;104148;93355;125748;5242;500544;138867;1910;8028;0;152329;
1660669364023;37237387;110758;122504;181755;5083;498150;150188;2878;9575;0;212463;61947;75416;101556;4232;279354;90338;1669;5104;0;152273;
1660669364039;37512227;315502;453896;621873;43342;2137734;503209;8794;36435;0;576709;157174;264586;356391;23586;1127880;253263;4519;20551;0;356311;
1660669364055;37309478;110624;130793;189315;6445;528594;150779;2870;10585;0;213407;59871;82716;111321;3005;300018;88130;1518;6022;0;156322;
1660669364070;37375108;104129;110264;166950;4664;468666;136214;2512;8702;0;187631;45735;61504;82908;3552;237906;72531;1118;3562;0;113569;
1660669364086;37363864;109449;119091;182070;5048;480918;144814;2771;9016;0;209140;58805;77685;105210;3620;297228;89161;1468;4308;0;147190;
1660669364101;37437151;112438;134960;196245;7223;610140;151592;2973;11888;0;202666;47861;66003;88830;3128;262620;79423;1145;3435;0;120826;
1660669364117;37353448;127431;155303;244944;5336;676524;178899;3383;12528;0;242678;65361;85508;115164;6012;306162;97358;2116;6032;0;169382;
1660669364133;37311299;102903;105210;157248;4865;440526;133611;2415;8279;0;185658;47918;59416;80010;2411;238920;74939;1117;3283;0;114292;
1660669364148;37465957;98779;211443;296163;25421;697080;169931;3568;14932;0;319936;194057;206546;278208;14274;922116;207562;3789;16725;0;306386;
1660669364164;37558576;110794;126374;190197;5801;513066;150422;2912;10483;0;216943;58573;76293;102816;6588;276300;83881;1467;4917;0;145749;
1660669364180;37467612;82419;188308;266364;18805;653784;146986;3220;12710;2;263946;115869;148739;200340;17419;541266;159730;3083;11559;0;224518;
1660669364195;37969600;292682;479550;646128;52809;2319744;450605;7140;36591;37;549760;73266;158673;213633;12656;465522;110911;2603;10078;233;237080;
1660669364211;37243972;104369;116629;168399;5055;502464;143327;2583;9640;0;191190;53206;64351;86751;1789;251436;78420;1075;3836;0;120366;
1660669364227;37560214;122418;157078;225351;7357;582942;166827;3470;12850;0;255074;61587;94129;126819;14472;312918;91372;1793;6180;0;178234;
1660669364242;37302044;114555;132689;194166;4902;594000;155784;2938;11935;0;205059;47997;64341;86751;3550;265200;76823;1188;3851;0;116233;
1660669364258;37370647;111885;122008;178416;4973;498480;151416;2813;9382;0;213057;58794;74516;100359;4485;278286;85004;1499;4493;0;142709;
1660669364274;37429873;102899;107375;157752;5184;455676;138290;2505;8691;0;180871;43343;61670;83034;3909;238224;67984;999;3395;0;109240;
1660669364289;37647599;3916340;3757528;5069547;263656;21073428;5486858;48648;279971;0;5542620;265578;550999;742329;62938;2262450;491513;11138;45411;0;652295;
1660669364305;37883121;54724792;62277451;36625680;6160263;187379190;65872440;1373310;4208376;481;157062298;79843443;54353890;28898037;2670551;185698320;86038663;898041;2428381;178;146197023;
1660669364324;45014484;11943409;16085432;10575873;1341516;56634516;14959313;249920;1013020;4853;26100667;15392763;18271898;13723542;1420571;71361990;18900631;247398;1036405;21293;28337297;
1660669364339;37425750;1908128;2635990;3569769;225948;11790612;2630185;51247;228099;4728;3470840;666105;1317415;1774647;121372;3460800;1006192;20689;86706;22;2196464;
1660669364355;37619554;1079848;1672840;2273229;139208;8554944;1720724;39073;161915;7278;1846120;217872;433340;583884;31734;1466904;365303;7753;34782;0;573278;
1660669364370;36970388;146952;249560;372267;10504;1207146;241344;4397;21484;14;293074;58521;93024;125496;5139;396510;104720;1854;7001;0;154664;
1660669364386;37306458;131877;172175;261891;5912;752262;192198;3681;14186;9;255882;67845;98593;132867;2695;376830;111965;1955;6900;0;181863;
1660669364402;37277391;121923;142304;212625;4915;634224;169218;3299;11576;9;218292;54817;81044;108990;5585;333216;94689;1543;5333;0;136130;
1660669364417;37776019;5959837;6299774;8495928;556317;34508088;8312557;89649;443043;4531;8556432;656065;1321904;1780632;182092;4811322;1018338;30855;119839;2668;1567318;
1660669364433;37176233;591198;1198848;1637874;128239;4606680;903199;21745;93710;63;1515936;2372542;2285175;3078054;177161;11137002;3190667;59964;221710;12551;3498883;
1660669364449;37360469;92933;213771;314559;16574;1095648;188258;3964;19195;44;200485;122831;162425;218862;15953;843978;188501;3041;15914;0;206164;
1660669364464;37126497;138353;172229;261702;7678;977598;206731;3794;16526;17;210622;42573;42953;57834;1841;225168;65262;750;3005;0;68867;
1660669364480;37296719;129959;172137;256410;5914;835944;189436;3519;14730;8;231508;47563;64815;87444;3248;256908;77916;1162;4172;0;119585;
1660669364495;37421278;121560;160806;228123;9034;704682;171395;3347;13640;0;234103;61487;83312;112140;4192;299346;93444;1636;5612;0;165649;
1660669364511;37434852;95128;169003;259308;11949;757368;166762;3695;14494;0;210214;104271;107265;144459;6300;454548;141789;2237;9000;0;190219;
1660669364527;37206403;120362;118748;174951;5430;659316;163399;2843;10809;0;174821;42386;41457;55755;1754;219564;63555;714;2528;0;66838;
1660669364542;37332549;107814;124308;177912;6319;490356;145215;2718;10049;0;206897;49822;69592;93555;4243;279528;79347;1312;4661;0;134047;
1660669364558;37406937;90998;190692;269640;19858;637302;155560;4135;15723;0;292707;123333;136159;183456;7037;516408;163463;2791;9784;0;224002;
1660669364574;37579466;342863;542551;742329;47500;2000622;458423;7948;41561;0;721242;268407;505328;681030;50912;1953228;449606;9712;38092;0;668825;
1660669364589;37273792;120572;132528;188181;6258;737322;165111;2852;11727;0;178507;42842;44296;59787;2213;229878;62872;759;3152;0;67413;
1660669364605;37413792;63942;102625;152712;5142;465054;112337;2235;7625;0;136247;103697;98972;133434;6777;489492;140006;1957;7973;0;166587;
1660669364620;37230224;109360;118888;174069;4621;482244;146314;2764;9279;0;205942;59213;72521;97713;4656;274170;86037;1672;5099;0;141235;
1660669364636;37469776;130348;178782;252063;9067;787188;186142;3697;16006;0;242250;56398;101783;137151;15183;333042;87245;1941;6960;0;173437;
1660669364652;37425648;131076;233167;345177;12581;831540;189843;4112;17121;0;335475;95923;162463;218736;6349;492426;154119;2951;11728;0;285473;
1660669364667;37717691;70235;83786;123732;3270;402696;110670;1677;6400;0;126291;83294;97535;131481;7116;430932;112885;2086;8399;0;155376;
1660669364683;37245698;118579;132245;192213;5079;540360;161861;2972;10444;0;226529;59798;84216;113337;4529;295590;89327;1553;5087;0;160612;
1660669364699;37519081;104997;125740;178479;5387;517722;152144;2728;10321;0;205054;47854;78051;105336;8729;278226;79206;1331;4734;0;140120;
1660669364714;37419807;120219;123642;179928;5077;686382;167595;2832;10163;0;178431;42791;42502;57456;1680;221964;64661;751;2483;0;68348;
1660669364730;37309510;102908;109588;161721;4563;457434;136556;2471;8610;0;188714;47495;60528;81648;2905;242274;76200;1124;3608;0;118050;
1660669364745;37369424;109384;119470;173691;4602;481110;146187;2771;9236;0;210657;60193;71592;96327;2859;271920;87376;1497;4486;0;142621;
1660669364761;37401262;106137;111773;163548;4771;470832;142405;2579;9270;0;188684;49742;63644;85806;2843;250638;75265;1227;4243;0;114516;
1660669364777;37466232;124559;157903;231147;6527;688020;176199;3474;13203;0;237079;64829;84816;114156;6834;304224;95198;2075;6389;0;162757;
1660669364792;37550117;761406;1449598;1958040;168533;5243970;1302998;25505;104985;4;1949558;4069630;4193617;5648769;297412;21706080;5783689;57195;304350;0;6269613;
1660669364808;37334777;118340;244460;341145;31210;819948;198577;5170;20606;0;334795;123863;180368;243054;11869;687612;181497;3262;13540;0;264023;
1660669364824;37513856;135458;200819;283437;20013;706758;199471;3893;15179;0;316380;95771;234219;315504;26625;757074;175493;3971;17053;11;350383;
1660669364839;37277718;101756;102252;152775;4866;557640;139879;2289;9613;0;154466;42757;41526;55818;1808;217320;62988;744;2907;0;66396;
1660669364855;37354535;110066;120331;174132;4647;487326;147302;2744;9291;0;212019;59701;74579;100422;3104;277878;88807;1458;4782;0;147478;
1660669364870;37406159;104182;109459;167643;4712;467208;138341;2473;8543;0;185056;44888;61106;82341;6494;237744;70223;1153;3876;0;107895;
1660669364886;37652979;104549;256406;357903;14244;817998;157771;4305;14846;0;323345;127250;145742;196434;7438;610182;170552;3043;10938;0;210099;
1660669364902;39180993;11988393;5598383;7545699;345260;28649952;10416207;32034;112697;0;13328842;1288152;2280102;3071313;24091;4759878;822541;5507;19932;0;5638527;
1660669364918;37182077;126841;178875;252567;7500;793344;193176;3505;14921;0;249666;59758;93733;126126;7993;336684;97896;1745;7259;17;169944;
1660669364934;37501555;368646;443077;606942;58153;1836192;480186;7709;31320;1;667533;74489;196138;264537;25818;529776;130094;3490;13040;24;270154;
1660669364949;37296945;127936;184414;284823;11680;845370;189072;4004;15882;17;243881;61287;86467;116424;5304;313620;96340;1959;6513;0;165044;
1660669364965;37371830;120570;150766;227178;6207;675432;171291;3276;12326;6;218753;51512;75487;101871;4636;282450;82999;1340;5246;0;141408;
1660669364981;37390541;136321;181045;273294;6457;839160;195895;3859;15373;6;254579;62960;81518;109620;3639;295560;95079;1689;5809;0;164802;
1660669364996;37326754;104506;113251;166131;5369;463794;139673;2670;9101;0;195529;48562;60028;80892;2761;257574;76578;1184;3750;0;114776;
1660669365012;37341132;117890;129239;185913;5501;527520;161051;3007;10180;0;227900;62900;84412;113778;3637;296502;91000;1764;5930;0;162576;
1660669365028;38386416;213308;408741;569709;27484;1562382;358001;8073;36330;0;565557;200872;316857;426762;23363;1025898;246037;5196;23403;0;499169;
1660669365043;37393297;123950;167760;252441;7214;691104;179087;3544;14242;0;253024;78770;118679;159831;5755;412614;121741;2343;9269;1;211347;
1660669365059;37386031;105044;110788;166761;5416;470628;140439;2506;8828;0;188499;46116;63533;85428;5318;246942;73018;1163;3747;0;114210;
