# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663004065966;37653006;126602;121916;267624;5777;697344;162760;3090;11367;0;175034;42241;39240;19152;2345;202716;59163;779;2544;0;64444;
1663004065982;37699585;103094;104266;193914;5233;422076;127531;2702;8683;0;186894;58212;76124;75096;5778;264336;84165;1634;4843;0;149416;
1663004065998;37724318;160225;236834;254268;32315;953862;184195;4528;19352;0;342387;101522;127702;93618;9384;460710;125959;2994;9598;0;180935;
1663004066013;37753862;10063836;11795194;5992497;1048390;47328636;12755836;212674;848115;5239;19566371;13606456;12434553;6035778;793919;55360872;16419221;211621;865558;47;21359758;
1663004066029;37674422;349712;841259;796068;75174;3826980;622820;13604;62264;7;796913;837527;1592931;781074;132388;8277180;1339159;30337;131224;5604;1426869;
1663004066045;37657165;93877;248068;337680;29111;887220;173644;4020;19526;14;299050;121866;169652;102060;12317;659202;170361;2975;12691;0;220318;
1663004066060;37689764;121743;141526;275625;6410;632028;166820;3519;13221;8;223859;64344;85482;70812;4467;298200;95430;1875;6415;0;167177;
1663004066076;37742075;73199;94764;169407;3177;483042;113221;2569;8591;11;126239;119099;111484;95382;6941;603756;164163;2698;10251;0;173629;
1663004066091;37638304;161985;174148;350847;9774;1027170;225043;3799;18273;9;221870;22526;34576;16695;1901;170868;35510;860;2994;0;43020;
1663004066107;37680590;120383;130039;265797;5360;578754;161038;3210;12554;0;214317;58457;78564;70497;4527;274392;86188;1573;5165;0;149716;
1663004066123;37708965;127868;118400;205884;5942;503088;161367;2763;10089;0;219077;41646;80953;77238;7067;259242;66047;1746;6217;0;142859;
1663004066138;37689821;477087;562637;422982;38468;3042114;700523;6799;30612;1;756150;66171;139288;67410;17615;517416;106063;2035;7652;0;165453;
1663004066154;37683614;112590;98756;199836;5503;556818;139934;2685;9873;0;154347;42061;39261;18837;2011;203688;59899;735;2682;0;64605;
1663004066170;37699418;103176;101873;194607;4947;406950;128435;2683;8645;0;188983;58346;73850;75474;6288;261492;83689;1619;4814;0;147980;
1663004066185;37695975;118199;103459;195678;4751;432156;146390;2395;8297;0;202115;42079;65490;75033;2926;225960;63146;1740;4981;0;126077;
1663004066201;37681284;110944;92018;196812;4848;520374;136834;2555;8679;0;151271;41791;39056;19026;1949;199698;60340;753;2393;0;64747;
1663004066216;37711766;103373;102281;201852;4887;408090;130861;2738;8949;0;189232;60093;72890;80451;5285;260934;83522;1681;4998;0;142454;
