Time[sec],package0-bigcore-CPU0-INST_RETIRED.ANY,package0-bigcore-CPU0-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU0-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU0-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU0-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU0-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU0-L1D.REPLACEMENT,package0-bigcore-CPU0-L2_RQSTS.REFERENCES,package0-bigcore-CPU0-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU0-UOPS_EXECUTED.CORE,package0-bigcore-CPU0-PERF_METRICS.RETIRING,package0-bigcore-CPU0-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU0-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU0-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU0-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU0-PERF_METRICS.MEMORY_BOUND,package0-bigcore-CPU1-INST_RETIRED.ANY,package0-bigcore-CPU1-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU1-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU1-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU1-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU1-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU1-L1D.REPLACEMENT,package0-bigcore-CPU1-L2_RQSTS.REFERENCES,package0-bigcore-CPU1-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU1-UOPS_EXECUTED.CORE,package0-bigcore-CPU1-PERF_METRICS.RETIRING,package0-bigcore-CPU1-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU1-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU1-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU1-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU1-PERF_METRICS.MEMORY_BOUND,Frequency0,DTS0,DTS1,DTS2,DTS3,DTS5,ratio,Frequency[MHz],cycles
0.5489999999999995,98684,89873,181062,8163,458430,125139,1792,6692,0,204947,64,15,85,91,15,13,57,37,61453,45163,60858,3452,190554.0,78095.0,510.0,1449.0,0.0,205481.0,92.0,19.0,107.0,39.0,19.0,17.0,66.0,14.0,1200.808350730689,43.950819672131146,45.0655737704918,44.91803278688525,45.10655737704918,46.122950819672134,8.0,800.0,110425706862948.0
0.5650000000000048,113682,97439,183834,8611,507108,145504,2229,7491,0,221459,66,13,80,96,15,10,51,40,60707,44126,59409,3264,186642.0,77206.0,510.0,1275.0,0.0,221064.0,92.0,18.0,103.0,43.0,19.0,16.0,63.0,14.0,1282.2678546949967,43.65151515151515,44.68181818181818,44.65909090909091,44.946969696969695,45.68181818181818,8.303030303030303,830.3030303030303,119477024023565.0
0.5800000000000054,13216275,11523852,12356253,472382,55976436,17649974,165387,852080,0,22208166,64,25,113,52,11,24,77,26,4154430,5097844,5874372,364013,16335126.0,5864322.0,92854.0,415227.0,12.0,22205808.0,71.0,33.0,132.0,25.0,13.0,33.0,97.0,13.0,2256.2262814139526,43.885245901639344,44.91803278688525,44.721311475409834,45.32786885245902,45.92622950819672,8.327868852459016,832.7868852459017,110425761786342.0
0.5980000000000061,4695236,7990877,4546710,401677,37668954,7101179,102054,449763,21,9787051,35,20,84,117,7,19,65,102,2570523,3886494,1916019,279581,13381086.0,3751701.0,59310.0,278267.0,0.0,9791144.0,55.0,27.0,132.0,40.0,11.0,26.0,101.0,25.0,4251.762183732853,43.513513513513516,44.41891891891892,44.54054054054054,45.013513513513516,45.63513513513514,8.27027027027027,827.027027027027,133959156263165.0
0.6129999999999995,72343,158772,267750,19639,581544,133326,2351,11485,0,277078,40,31,139,53,12,30,109,24,125314,137671,201096,9834,526050.0,164048.0,2085.0,10385.0,0.0,273181.0,67.0,26.0,128.0,25.0,14.0,25.0,91.0,11.0,1434.551717647059,43.483870967741936,44.71774193548387,44.57258064516129,45.11290322580645,45.83064516129032,8.0,800.0,112236079726905.0
0.6290000000000049,682101,1328803,1945377,149451,5714406,1014293,21874,100438,0,2528677,36,19,137,61,9,18,114,32,1153742,1891431,2590434,207941,8811222.0,1672037.0,36397.0,155380.0,0.0,2519859.0,38.0,18.0,135.0,67.0,8.0,17.0,112.0,39.0,1652.4510249684254,43.69230769230769,44.91538461538462,44.73076923076923,45.176923076923075,45.90769230769231,8.461538461538462,846.1538461538462,117666887039695.0
0.6450000000000031,133002,116804,214074,7153,571728,168857,1839,9426,0,219205,64,21,127,41,12,20,93,15,34313,79373,141120,8251,256158.0,64888.0,1336.0,5595.0,0.0,235189.0,50.0,25.0,135.0,51.0,19.0,24.0,104.0,19.0,1319.974573278399,44.68939393939394,46.446969696969695,48.378787878787875,46.5,49.29545454545455,21.96969696969697,2196.969696969697,119477177487962.0
0.6600000000000037,114342,110334,203742,9017,579450,154941,2301,9512,0,230640,58,18,99,80,13,16,70,34,61498,47935,64575,3401,204588.0,82144.0,518.0,1634.0,0.0,230118.0,85.0,24.0,109.0,37.0,18.0,22.0,69.0,13.0,1310.0883116883117,44.122950819672134,45.557377049180324,45.33606557377049,45.5,46.450819672131146,8.327868852459016,832.7868852459017,110425903622149.0
0.6760000000000019,105097,109565,200403,8778,461172,137631,2215,8295,0,237636,68,16,100,65,16,15,68,24,74240,98174,167643,11264,305214.0,106550.0,1464.0,5509.0,0.0,233245.0,72.0,27.0,123.0,43.0,17.0,25.0,87.0,24.0,1322.6331342345177,43.93023255813954,45.604651162790695,44.848837209302324,45.325581395348834,46.2093023255814,8.0,800.0,77841226600016.0
0.6920000000000002,105145,110088,203238,9098,428046,135979,2489,8057,0,252914,73,15,97,66,18,13,64,24,90172,100452,173565,6751,343956.0,127543.0,1941.0,6586.0,0.0,252727.0,76.0,29.0,121.0,35.0,17.0,27.0,83.0,14.0,1310.408927464352,43.36,44.08,44.38,44.32,45.46,8.0,800.0,45256607586158.0
